t,man_mode,MV,MVP,MVI,MVD,MVFF,MVMan,DV,SP,PV
0.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,0.000000000000000000e+00,9.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.153999999999999915e+01
1.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,1.117302370444686375e+02,-1.673348479569233049e+01,3.247751223693108851e-03,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.153999999999999915e+01
2.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,1.117302370444686375e+02,-1.673023709167111406e+01,4.720247754778335839e-08,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.153999999999999915e+01
3.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,1.117302370444686375e+02,-1.673023704446932314e+01,6.860358855058445730e-13,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.153999999999999915e+01
4.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,1.117302370444686375e+02,-1.673023704446863746e+01,9.970774007049761519e-18,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.153999999999999915e+01
5.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,1.117302370444686375e+02,-1.673023704446863746e+01,1.449141894761891394e-22,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.169999999999999929e+01
6.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,1.111464082421461370e+02,-1.614639127153229836e+01,-1.697061384032978127e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.187000000000000099e+01
7.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,1.105260901396784732e+02,-1.552607210815461869e+01,-1.803152385448209515e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.189999999999999858e+01
8.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,1.104166222392430114e+02,-1.541661905699084834e+01,-3.182252163348605530e-06,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.216000000000000014e+01
9.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,1.094679004354689482e+02,-1.446787285817520718e+01,-2.757729374105707251e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.219000000000000128e+01
1.000000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,1.093584325350334723e+02,-1.435842935264257214e+01,-3.182390900572899032e-06,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.248000000000000043e+01
1.100000000000000000e+01,1.000000000000000000e+00,9.500000000000001421e+01,1.083002428308239331e+02,-1.330021207154009488e+01,-3.075928383813504461e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.273999999999999844e+01
1.200000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,1.073515210270498841e+02,-1.235149344935534188e+01,-2.757769454275879937e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.289999999999999858e+01
1.300000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,1.067676922247273836e+02,-1.176767525371273138e+01,-1.697101465166593869e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.314999999999999858e+01
1.400000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,1.058554597210984696e+02,-1.085543320426768865e+01,-2.651683078047214825e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.348000000000000043e+01
1.500000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,1.046513128163083053e+02,-9.651277814031866242e+00,-3.500227643853322560e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.376999999999999957e+01
1.600000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,1.035931231120987803e+02,-8.593092352352474705e+00,-3.075974630503266685e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.401999999999999957e+01
1.700000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,1.026808906084698663e+02,-7.680864091438682095e+00,-2.651703118445984742e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.435000000000000142e+01
1.800000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,1.014767437036797020e+02,-6.476708701403260271e+00,-3.500227644144587375e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.453999999999999915e+01
1.900000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,1.007834470009217398e+02,-5.783426847809084670e+00,-2.015311265482645488e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.496000000000000085e+01
2.000000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,9.925089639482517612e+01,-4.250851846670942180e+00,-4.454815423410319870e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.535000000000000142e+01
2.100000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,9.782781368916407416e+01,-2.827772322645380143e+00,-4.136651869403117727e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.560000000000000142e+01
2.200000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,9.691558118553516010e+01,-1.915554668349817913e+00,-2.651718534218347196e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.605000000000000071e+01
