t,man_mode,MV,MVP,MVI,MVD,MVFF,MVMan,DV,SP,PV
0.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,0.000000000000000000e+00,9.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.282999999999999829e+01
1.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,1.070231173257434705e+02,-1.202622825139307672e+01,3.110925649605450222e-03,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.282999999999999829e+01
2.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,1.070231173257434705e+02,-1.202311737095733868e+01,4.521386892477093258e-08,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.282999999999999829e+01
3.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,1.070231173257434705e+02,-1.202311732574412773e+01,6.571336551889752043e-13,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.282999999999999829e+01
4.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,1.070231173257434705e+02,-1.202311732574347047e+01,9.550712006099591031e-18,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.282999999999999829e+01
5.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,1.070231173257434705e+02,-1.202311732574347047e+01,1.388090521664476401e-22,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.285999999999999943e+01
6.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,1.069136494253080087e+02,-1.191364624331791333e+01,-3.181990095061951938e-06,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.308999999999999986e+01
7.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,1.060743955219694072e+02,-1.107437112666576517e+01,-2.439530364218624677e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.314999999999999858e+01
8.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,1.058554597210984696e+02,-1.085545335676372147e+01,-6.364334748922255871e-06,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.328000000000000114e+01
9.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,1.053810988192114309e+02,-1.038108503049518738e+01,-1.378871624384565520e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.348000000000000043e+01
1.000000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,1.046513128163083053e+02,-9.651291602840601058e+00,-2.121346770417587284e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.369999999999999929e+01
1.100000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,1.038485482131148672e+02,-8.848524878212522538e+00,-2.333490234478037824e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.382999999999999829e+01
1.200000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,1.033741873112278427e+02,-8.374173522264950265e+00,-1.378896289230470072e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.412000000000000099e+01
1.300000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,1.023159976070183035e+02,-7.315966847580310350e+00,-3.075943799294649194e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.441000000000000014e+01
1.400000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,1.012578079028087643e+02,-6.257777143124124031e+00,-3.075968464006122502e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.451000000000000156e+01
1.500000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,1.008929149013572015e+02,-5.892904294276493538e+00,-1.060708070825460916e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.476999999999999957e+01
1.600000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,9.994419309758313830e+01,-4.944165520181485363e+00,-2.757740165274036786e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.512000000000000099e+01
1.700000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,9.866706759250266146e+01,-3.667030468884078687e+00,-3.712361858280084387e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.541000000000000014e+01
1.800000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,9.760887788829313649e+01,-2.608847128515999980e+00,-3.075977713639813587e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.573000000000000043e+01
1.900000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,9.644122028364813559e+01,-1.441186341973395457e+00,-3.394167474005224845e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.605000000000000071e+01
2.000000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,9.527356267900313469e+01,-2.735287372821492702e-01,-3.394172098542014868e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.637999999999999901e+01
2.100000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,9.406941577421298462e+01,9.306192281713664416e-01,-3.500238435111267842e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.669999999999999929e+01
2.200000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,9.290175816956796950e+01,2.098275772168431974e+00,-3.394173640166300913e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.701999999999999957e+01
2.300000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,9.173410056492296860e+01,3.265933376798017651e+00,-3.394172098631633664e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.733999999999999986e+01
2.400000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,9.056644296027796770e+01,4.433590981443018109e+00,-3.394172098609228626e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.767000000000000171e+01
2.500000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,8.936229605548780341e+01,5.637738946896547532e+00,-3.500238435111306467e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.798999999999999844e+01
2.600000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,8.819463845084281672e+01,6.805395490893585198e+00,-3.394173640166263644e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.830999999999999872e+01
2.700000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,8.702698084619781582e+01,7.973053095523170875e+00,-3.394172098631633664e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.862999999999999901e+01
2.800000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,8.585932324155280071e+01,9.140710700168185099e+00,-3.394172098609228626e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.896000000000000085e+01
2.900000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,8.465517633676263642e+01,1.034485866562171452e+01,-3.500238435111306467e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.930999999999999872e+01
3.000000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,8.337805083168217379e+01,1.162198629204432265e+01,-3.712372649672458541e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.960000000000000142e+01
3.100000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,8.231986112747263462e+01,1.268016963230450322e+01,-3.075977713796692898e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.994999999999999929e+01
3.200000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,8.104273562239217199e+01,1.395730150127266356e+01,-3.712366483511384506e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.023999999999999844e+01
