t,MV,PV,DV
0.000000000000000000e+00,6.500000000000000000e+01,2.514999999999999858e+01,5.000000000000000000e+01
1.000000000000000000e+00,6.500000000000001421e+01,2.508999999999999986e+01,5.000000000000000000e+01
2.000000000000000000e+00,6.499999999999998579e+01,2.514999999999999858e+01,5.000000000000000000e+01
3.000000000000000000e+00,6.499999999999998579e+01,2.512000000000000099e+01,5.000000000000000000e+01
4.000000000000000000e+00,6.500000000000000000e+01,2.512000000000000099e+01,5.000000000000000000e+01
5.000000000000000000e+00,6.500000000000000000e+01,2.512000000000000099e+01,5.000000000000000000e+01
6.000000000000000000e+00,6.500000000000000000e+01,2.517999999999999972e+01,5.000000000000000000e+01
7.000000000000000000e+00,6.500000000000000000e+01,2.528000000000000114e+01,5.000000000000000000e+01
8.000000000000000000e+00,6.499999999999998579e+01,2.535000000000000142e+01,5.000000000000000000e+01
9.000000000000000000e+00,6.500000000000000000e+01,2.541000000000000014e+01,5.000000000000000000e+01
1.000000000000000000e+01,6.500000000000000000e+01,2.546999999999999886e+01,5.000000000000000000e+01
1.100000000000000000e+01,6.499999999999998579e+01,2.573000000000000043e+01,5.000000000000000000e+01
1.200000000000000000e+01,6.499999999999998579e+01,2.573000000000000043e+01,5.000000000000000000e+01
1.300000000000000000e+01,6.500000000000000000e+01,2.576000000000000156e+01,5.000000000000000000e+01
1.400000000000000000e+01,6.500000000000001421e+01,2.605000000000000071e+01,5.000000000000000000e+01
1.500000000000000000e+01,6.500000000000000000e+01,2.605000000000000071e+01,5.000000000000000000e+01
1.600000000000000000e+01,6.499999999999998579e+01,2.630999999999999872e+01,5.000000000000000000e+01
1.700000000000000000e+01,6.500000000000000000e+01,2.637999999999999901e+01,5.000000000000000000e+01
1.800000000000000000e+01,6.500000000000000000e+01,2.653999999999999915e+01,5.000000000000000000e+01
1.900000000000000000e+01,6.500000000000000000e+01,2.669999999999999929e+01,5.000000000000000000e+01
2.000000000000000000e+01,6.500000000000000000e+01,2.685999999999999943e+01,5.000000000000000000e+01
2.100000000000000000e+01,6.499999999999998579e+01,2.701999999999999957e+01,5.000000000000000000e+01
2.200000000000000000e+01,6.499999999999998579e+01,2.721000000000000085e+01,5.000000000000000000e+01
2.300000000000000000e+01,6.500000000000001421e+01,2.737999999999999901e+01,5.000000000000000000e+01
2.400000000000000000e+01,6.500000000000000000e+01,2.753999999999999915e+01,5.000000000000000000e+01
2.500000000000000000e+01,6.500000000000000000e+01,2.767000000000000171e+01,5.000000000000000000e+01
2.600000000000000000e+01,6.500000000000000000e+01,2.796000000000000085e+01,5.000000000000000000e+01
2.700000000000000000e+01,6.500000000000000000e+01,2.801999999999999957e+01,5.000000000000000000e+01
2.800000000000000000e+01,6.499999999999998579e+01,2.828000000000000114e+01,5.000000000000000000e+01
2.900000000000000000e+01,6.500000000000000000e+01,2.833999999999999986e+01,5.000000000000000000e+01
3.000000000000000000e+01,6.500000000000000000e+01,2.862999999999999901e+01,5.000000000000000000e+01
3.100000000000000000e+01,6.500000000000000000e+01,2.882999999999999829e+01,5.000000000000000000e+01
3.200000000000000000e+01,6.500000000000000000e+01,2.896000000000000085e+01,5.000000000000000000e+01
3.300000000000000000e+01,6.500000000000000000e+01,2.921000000000000085e+01,5.000000000000000000e+01
3.400000000000000000e+01,6.500000000000000000e+01,2.937000000000000099e+01,5.000000000000000000e+01
3.500000000000000000e+01,6.500000000000001421e+01,2.960000000000000142e+01,5.000000000000000000e+01
3.600000000000000000e+01,6.500000000000000000e+01,2.978999999999999915e+01,5.000000000000000000e+01
3.700000000000000000e+01,6.500000000000000000e+01,2.992000000000000171e+01,5.000000000000000000e+01
3.800000000000000000e+01,6.500000000000000000e+01,3.014999999999999858e+01,5.000000000000000000e+01
