t,man_mode,MV,MVP,MVI,MVD,MVFF,MVMan,DV,SP,PV
0.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,0.000000000000000000e+00,9.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.898999999999999844e+01
1.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,8.454570843632718891e+01,1.045183400665605866e+01,2.457557016752754103e-03,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.896000000000000085e+01
2.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,8.465517633676263642e+01,1.034482044552939151e+01,3.217707972422194077e-06,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.896000000000000085e+01
3.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,8.465517633676263642e+01,1.034482366319059743e+01,4.676583206729449841e-11,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.896000000000000085e+01
4.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,8.465517633676263642e+01,1.034482366323736358e+01,6.796897256341289514e-16,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.896000000000000085e+01
5.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,8.465517633676263642e+01,1.034482366323736358e+01,9.878539581372701589e-21,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.896000000000000085e+01
6.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,8.465517633676263642e+01,1.034482366323736358e+01,1.435736639533618647e-25,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.896000000000000085e+01
7.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,8.465517633676263642e+01,1.034482366323736358e+01,2.086684657301184375e-30,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.907999999999999829e+01
8.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,8.421730473502077530e+01,1.078270799293960458e+01,-1.272796038024705389e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.925000000000000000e+01
9.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,8.359698663255311146e+01,1.140303139890908035e+01,-1.803146219219921043e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.930999999999999872e+01
1.000000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,8.337805083168217379e+01,1.162195553256008296e+01,-6.364242257514363575e-06,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.960000000000000142e+01
1.100000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,8.231986112747263462e+01,1.268016963185744750e+01,-3.075933008283117994e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.966000000000000014e+01
1.200000000000000000e+01,1.000000000000000000e+00,9.499999999999998579e+01,8.210092532660169695e+01,1.289908103782554605e+01,-6.364427243018781512e-06,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.992000000000000171e+01
1.300000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,8.115220352282763372e+01,1.384782405451235654e+01,-2.757733999045778469e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.012000000000000099e+01
1.400000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,8.042241751992450816e+01,1.457760369374359932e+01,-2.121366810659526680e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.030999999999999872e+01
1.500000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,7.972912081716654598e+01,1.527089933574570679e+01,-2.015291225263105370e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.057000000000000028e+01
1.600000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,7.878039901339248274e+01,1.621962856414790721e+01,-2.757754039086078622e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.073000000000000043e+01
1.700000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,7.819657021106998229e+01,1.680344675994466641e+01,-1.697101464942550944e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.092000000000000171e+01
